name,institution,link,category
Noah Smith,UW & AI2,https://nasmith.github.io/,1
Luke Zettlemoyer,UW & Meta AI,https://www.cs.washington.edu/people/faculty/lsz,1
Mari Ostendorf,UW,https://people.ece.uw.edu/ostendorf/,1
Owen Rambow,Stony Brook,https://owenrambow.com/,1
Kathleen McKeown,Columbia,http://www.cs.columbia.edu/~kathy/,1
Caiming Xiong,Salesforce Research,http://cmxiong.com/,1
Ahmed Hassan Awadallah,MSR,https://www.microsoft.com/en-us/research/people/hassanam/,1
Victor Zhong,UWaterloo,https://www.victorzhong.com/,2
Rui Zhang,PSU,https://ryanzhumich.github.io/,2
Xi Victoria Lin,Meta AI,http://victorialin.net/,2
Bailin Wang,MIT,https://berlino.github.io/,2
Ruiqi Zhong,UCB,https://ruiqi-zhong.github.io/,2
Sida Wang,Meta AI,https://www.sidaw.xyz/,2
Ansong Ni,Yale,https://niansong1996.github.io/,2
Weijia Shi,UW,https://weijia-shi.netlify.app/,2
Jungo Kasai,UW,https://homes.cs.washington.edu/~jkasai/,2
Yizhong Wang,UW,https://homes.cs.washington.edu/~yizhongw/,2
Tianyi Zhang,Stanford,https://tiiiger.github.io/,2
Daniel Fried,CMU,https://dpfried.github.io/,2
Pengcheng Yin,Google DeepMind,https://scholar.google.com/citations?user=t5lVb6sAAAAJ&hl=en,2
Chen Xing,Salesforce Research,https://www.linkedin.com/in/chen-xing-83082074/,2
Yiru Chen,"DB, Columbia",https://www.cs.columbia.edu/~chen1ru/,2
Bohan Zhang,"DB, OtterTune",https://bohanjason.github.io/,2
Dragomir Radev,Yale,http://www.cs.yale.edu/homes/radev/,3
Yanchao Yang,"CV/Robotics, HKU",https://yanchaoyang.github.io/,2